post_id,predicted_tense,verbatim_example,true_tense
6u3x5c,1,I'm high on heroin right now.,0
6u5lb7,1,I snifee 5 bags,0
6u9715,0,,1
6ualhi,0,,0
682d3b,ERROR,ERROR,0
6eijd4,ERROR,ERROR,0
6fg1j6,0,,0
6trb3k,ERROR,ERROR,0
7bmrck,ERROR,ERROR,0
7ru9l7,ERROR,ERROR,0
8lklgw,ERROR,ERROR,0
962cbt,ERROR,ERROR,0
6ecox4,1,It is very tempting to go back.,0
6ejlt5,0,,0
6errz8,0,,0
6exs63,1,I no i need to pick myself up as soon as i can.,0
6eyew8,1,No doubt this is how ill go.... Be off Heroin for awhile think im doing great and fine the ill likely be back on my fucking face and using.,0
6fcck9,1,I will be starting on day 1 tomorrow.,1
6g781q,1,"It feels like more days should have gone by cause it seems to be so damn slow. Im sick of feeling like crap, throwing up, being depressed and i wish it would hurry up and go away.",0
6golmf,0,,0
6gou8x,ERROR,ERROR,0
6iaj3m,0,,0
6ihpnl,ERROR,ERROR,0
6jbkfz,0,,0
6jfyax,0,,0
6m41ju,0,,0
6n19x9,0,,0
6pbh75,ERROR,ERROR,0
6tx04u,ERROR,ERROR,0
6wx3ln,ERROR,ERROR,0
6zbm1j,0,,0
71ehhl,1,Some friends r in hospital one is having a triple bypass and another has had her life threatened but wont go to the cops. So im very much trying to not go fuck it all and go back to heroin.,0
77yau9,1,Going to end my post here cant really think the best. Been awhile since my last post.,0
7exdor,1,When i try to eat or drink liquids all i do is puke them back up.,0
7gjwh1,1,withdrawal symptoms,0
7hl33q,0,,0
822896,0,,0
8vel4c,1,I will hopefully be able to have a place to stay when i get discharged.,0
9wveea,ERROR,ERROR,0
1ym4ee,1,"I'll also add that in 5 days clean right now, but on my 3rd attempt (longest was 17 days) since Jan., so physically feeling pretty alright.",0
1yops0,1,"Tomorrow, I'm making it a point to drink AT LEAST 1 glass of water every other hour, and see how I feel.",0
212fta,0,,0
23nup6,ERROR,ERROR,0
2fl0x9,0,,0
2g6agl,ERROR,ERROR,0
2h5exs,ERROR,ERROR,0
2hlh1z,ERROR,ERROR,0
2irzez,ERROR,ERROR,0
2jea88,0,,0
2jv8il,0,,0
2jytmb,ERROR,ERROR,0
2ked9w,ERROR,ERROR,0
2lnrmz,ERROR,ERROR,0
1pbnkc,0,,0
1pha2r,ERROR,ERROR,0
1pnpvq,ERROR,ERROR,0
1tzncq,ERROR,ERROR,0
7gq0yc,0,,0
5lob90,0,,0
5tqmox,0,,0
600t7j,ERROR,ERROR,0
60s37k,ERROR,ERROR,0
61o3re,0,,0
64ndta,ERROR,ERROR,0
64q2i1,0,,0
67d3f9,ERROR,ERROR,0
67guh7,0,,0
6bdi2u,0,,0
6gicm6,0,,0
4whcxi,ERROR,ERROR,0
4wmevz,0,,0
4yj9xi,0,,0
4yyk78,0,,0
4z0ik4,0,,0
507vuc,0,,0
50t068,0,,0
511dtc,0,,0
51afdr,0,,0
51av7r,0,,0
51i5g8,1,one day I know that I'll have to,0
55fkee,ERROR,ERROR,0
709dzb,0,,0
70i6vv,0,,0
70p8a0,ERROR,ERROR,0
717jp7,0,,0
73dkzj,ERROR,ERROR,0
75me0h,0,,0
75v3o8,0,,0
76s9o0,0,,0
7x8stk,0,,0
84a91v,ERROR,ERROR,0
3gk4rv,0,,0
56784z,0,,0
586zw6,ERROR,ERROR,0
4u51gl,0,,0
4ubmn6,0,,0
4vo6wf,0,,0
561s45,0,,0
56u4hy,0,,0
5kmnc9,1,I've decided to quit opiates starting tomorrow after eight months of use...,1
5lclr7,1,For all of you who've decided to as of tomorrow,0
5liang,1,I only hope that come tomorrow I'll be able to continue with my plan for sobriety in the new year.,1
5s9xqw,1,"I won't have access to any more for at least a week. I'm forcing myself to detox from a pretty large opiate habit,",1
65cv05,0,,0
66uruk,0,,0
67qd20,0,,0
684n6j,0,,0
68nqa7,1,I'm almost positive that it'll fuck up my ass and burn like hell.,0
69xqnx,1,"I'm getting some G74s, will be the first opana ive had since August",0
6b9sv9,1,I'll get less preachy advice... I need that rush.,0
6b9xty,1,I need dope. I'd rather have artificial happiness than genuine depression.,0
6ch1pr,1,I have 2.5 more blues and they'll probably be gone by midnight.,0
6f1fyi,1,I still wasn't clean and my family has dropped the issue and still thinks I'm using it can't prove it.,0
6iadgq,0,,0
6iafug,0,,0
71bh1s,0,,0
7a369f,0,,0
7a37vk,0,,0
7bh2h1,0,,0
7d4os4,1,I want to quit both cold turkey.,0
7rtg8w,1,"Tomorrow would have been 4 months off of heroin,",0
7ry0e9,1,"I used yesterday for the first time in 119 days, and again this morning.",0
7t7r8p,0,,0
8esvcs,1,"This isn’t a goodbye letter, quite the opposite. You’re gone now but you know I’ll be back.",0
6pti31,ERROR,ERROR,0
6rq4jr,ERROR,ERROR,0
6s4f3m,0,,0
6s4g3u,ERROR,ERROR,0
6s9hcr,ERROR,ERROR,0
6sfhn8,ERROR,ERROR,0
6t76hx,ERROR,ERROR,0
6t7aid,ERROR,ERROR,0
6t7dy4,ERROR,ERROR,0
6te5tz,ERROR,ERROR,0
6te81p,ERROR,ERROR,0
6tkb44,ERROR,ERROR,0
7aan22,ERROR,ERROR,0
7d3drl,ERROR,ERROR,0
7h5zeb,ERROR,ERROR,0
81trra,0,,0
82kro2,ERROR,ERROR,0
864n60,0,,0
866m4p,0,,0
86gisl,0,,0
86wml6,ERROR,ERROR,0
8adleu,0,,0
8hk9f1,0,,0
8tn4nf,ERROR,ERROR,0
8u4r94,0,,0
96dht9,0,,0
973ctk,0,,0
98i3nc,0,,0
9a8qun,ERROR,ERROR,0
813uhb,1,"I plan to reduce 4 mg each dose til day 5 where I half it til I'm at zero going in to the weekend, just in case I get any delayed withdrawal symptoms.",0
81bdva,1,I'm planning on possibly taking 2mg of Lope tonight to help me sleep...,0
81nzm1,1,"I've been meaning to quit for a while, but couldn't take time off work to get clean.",0
82lbna,1,Tomorrow marks 1 week since my last 2lb dose of PST.,0
83eb0b,0,,0
84cko6,1,"Insomnia is starting to fade, restlessness no where near as bad, and the bit of mania I had last week seemed to have passed.",0
85p8rf,1,"I have the worst headache of my life achey and chilly, when I'm not feeling on fire.",0
8bd9d1,0,,0
8w46n9,ERROR,ERROR,0
958rvq,0,,0
au0blm,0,,0
2ygt26,0,,0
2yr9h0,1,"I'm also ice cold, is that a withdrawal thing? Cloudy head and jumpy jittery chicken sizzle muscles,",0
2ytend,ERROR,ERROR,0
2yv6rl,0,,0
2z48lr,1,"It's the kind of day I used to deal with by taking a handful of pills,",0
2zay7h,1,And I promise myself that after the hell of withdrawal I will never go down that road again.,0
2zh8zg,0,,0
2znfx6,0,,0
2zyvaz,1,I plan to be one super-sober traveller,0
30g3oc,1,soon I will be off this bus (my fucking back!) And in a hot bath.,0
30nqve,0,,0
319i06,0,,0
31nhy0,ERROR,ERROR,0
31u79l,0,,0
322nga,1,"I want to know why my old dead phone is ringing now! By the time the conversation was over I wanted to be drunk or high, god I was frustrated.",0
32y8tc,ERROR,ERROR,0
34h01x,ERROR,ERROR,0
36d0kl,ERROR,ERROR,0
38qu2a,ERROR,ERROR,0
300yu5,ERROR,ERROR,0
3qjtg2,0,,0
3qqd04,ERROR,ERROR,0
3rf7l6,ERROR,ERROR,0
59w2as,0,,0
5hqafy,ERROR,ERROR,0
79cnsc,0,,0
9sdokj,ERROR,ERROR,0
7aua4u,ERROR,ERROR,0
9p4b20,1,Does anyone know of any programs that can help me? I don't know what I am going to do now.,0
9rnwdl,1,This shit takes the withdrawals away but it is almost not even worth it.,0
9uia52,1,Knowing as soon as I get some money I am going to be tempted to pick up again.,0
9ulwjb,0,,0
33006o,0,,0
37aze9,0,,0
38m7en,ERROR,ERROR,0
39zap1,0,,0
3e3bbi,1,I'm going to NA/AA meetings on days I don't have the outpatient group therapy.,0
3up5g3,ERROR,ERROR,0
4l2ag5,0,,0
4tpjx0,0,,0
51cous,ERROR,ERROR,0
5d90vf,0,,0
6ozbun,0,,0
6rafnn,0,,0
7g1vqd,0,,1
7g5du4,0,,0
7gyelj,1,am planning on going back to chipping once my tolerance is low enough,0
7jw8g6,ERROR,ERROR,0
7rgp0u,1,Since going cold turkey a bit more than a week ago I’ve hardly had any cravings for the stuff.,0
7t30ft,0,,0
7tzxdn,0,,0
8y0e1z,0,,0
949sge,0,,1
96lipy,1,I've recently quit heroin,0
9xg6r4,ERROR,ERROR,0
9xi2xi,0,,0
aavq25,ERROR,ERROR,0
afpnp5,ERROR,ERROR,0
afx8yx,ERROR,ERROR,0
al79i4,0,,0
alh546,ERROR,ERROR,0
6s0j7i,1,Will this set me back in my recovery.,0
6s4xxo,0,,0
6s7xs8,0,,0
6sar1g,1,when you feel you need to get out at moments of clarity and joy let it happen to let the Trick know what they have been missing... Because you are gonna need your space your chance to avoid that temptation and find the bigger person in you.,0
6sd792,0,,0
6sljr4,0,,0
6svd9w,1,"Now I have ran out of road and am now in the midst of finding a new path, one without all the obstacles.",0
6t3kmz,1,I will keep it short.,0
6tftx6,1,I know I need to active but I just don't have the energy to get started and when I do I fatigue so quickly.,0
6txtfr,0,,0
6ulw5h,0,,0
72a4kn,0,,0
56618n,1,"I have given myself off the rest of this week and next week for work, I'm going to hunker down and get the absolute shit beat out of me with these withdrawals.",1
6u5ay9,0,,0
8fyak2,1,Two weeks ago I gave a short 7 sub taper a try. ... I am now 7 days clean from the subs.,0
95rt7a,0,,0
9lvjm6,ERROR,ERROR,0
1lnlpj,1,"I ran out of my meds soon after I got out and am continuing to heal up, find a job and change my life around. It's been 4 days since I did any opiates and hope I can continue to stay sober.",0
1tf3eu,0,I never get withdrawals; I use to but got past the worst of my addiction,0
21twgm,0,,0
2270sz,0,,0
2e3dti,1,Starting all over now. Day 3. My withdrawals are never really that bad besides the sleep problem but I just take two extremely high doses of loperamide each 48 hours apart and before I know it i'm clear of the withdrawals,0
2o2x9k,1,I will go to outpatient and meetings as much as I can.,0
2p3z7g,1,"I have meditated on and off, usually when I had a steady supply of heroin. Was doing a bundle a day but now im 24 days clean",0
2qazkg,ERROR,ERROR,0
2qyi32,ERROR,ERROR,0
32g10n,ERROR,ERROR,0
3igjpx,ERROR,ERROR,0
3qpa18,0,,0
3t0tvc,ERROR,ERROR,0
6goqfz,0,,0
7ja12y,1,I am totally out of veins all the way from my hands to my sholders.,0
7k5hvx,1,I am so scared of withdrawls,1
7km083,ERROR,ERROR,0
7lowxe,1,"I feel like I did five hours ago, like the withdrawls is about to start, but they never do.",0
7p6600,1,"I am 13 hours into this hell, so that is a good start... how I’m gonna be able to do this.",0
7svg3u,1,I start my withdrawle today.,0
7tj2l7,1,considering 1/2a bag,0
7triel,1,I might not even be breathing anymore if it was not for you amazing fucks. ... I’m going back to buy 10 more because those four bags put us back a hell of a lot and we are not ready to start all over.,0
7u95fx,1,I am returning to work. I know this is all my fault.,0
8glscb,0,,0
8gtkgq,1,I am at day 3 of W (withdrawal) but it feels like day 1.,0
96xltz,ERROR,ERROR,0
97ozql,ERROR,ERROR,0
9dyqcs,0,,0
9pvhtb,ERROR,ERROR,0
9v6zja,1,The problem tho is that I have had mild withdrawals after that.,0
c94690,1,I am currently on my third day of detox.,0
c9vpjg,1,I had to start the wd all over but it is like 1/3 painfull so I am actually enjoying myself.,0
cggvwi,1,Being clean is hard but if I keep it up mabye some day I won’t have to keep fighting the urge to use or to kill myself.,0
2po33a,0,,0
2tln7x,0,,0
37oykz,0,,0
3d87cf,0,,0
3lh2yv,0,,0
3li7sr,0,,0
3lnjiv,0,,0
3o1ofl,0,,0
3omxe0,ERROR,ERROR,0
31jxvi,0,,0
39mu1q,0,,0
3d63dz,0,,0
3djk9q,0,,0
3erc0l,0,,0
3irkvv,0,,0
3k3ymy,ERROR,ERROR,0
3xgj38,0,,0
459p1q,0,,0
6nvhdx,1,I know that I will withdraw and have to go to work.,1
6w6ajl,1,"I actually caved Friday morning and went to my guy and ended getting beat, the bags were 95% percent cut, I was just as sick after snorting it as I was before the fact.",0
6w6ct6,1,"I actually caved Friday morning and went to my guy and ended getting beat, the bags were 95% percent cut, I was just as sick after snorting it as I was before the fact.",0
75qae3,1,in the next 12 hours or so I will oficially have a week clean,0
75r713,0,,0
75z5f4,1,Just hit day 8 of quitting so I have been officially clean for a week now.,0
76n8qh,0,,0
76susr,0,,0
7bwab7,1,Any idea on what to expect for withdrawal from only a 2 week run? Will it be just as bad when I came off my 5 month run?,0
7d78f1,1,going through WD,0
7imefg,1,On Monday I’ll be 3 days into WD,0
7kf1zl,1,did I just put myself back at day one again of withdraws?,0
7l47az,1,Never want to go through Heroin withdraws ever again.,0
7lo8k1,1,I still can’t sleep to save my life. It’s starting to become a quality of life issue at this point.,0
7lo9eb,1,I still can’t sleep to save my life. It’s starting to become a quality of life issue at this point.,0
7mvmnk,1,will this one night cause bad physical withdrawals again after being two weeks clean,1
7npcnm,0,,1
7szari,1,I'm going to try to quit again at home yet AGAIN but if it fails I'm going to try to get into rehab yet AGAIN.,1
8461tt,1,I'm 24 hours in right now and feel quite terrible.,0
86dnqg,0,,0
88suop,0,,0
8ch13k,0,,0
8e96en,0,,0
8rw114,ERROR,ERROR,0
8rw3kr,ERROR,ERROR,0
9a289p,0,,0
9oq7uc,ERROR,ERROR,0
4su46z,1,"I was considering going cold turkey, yesterday I went to a methadone clinic and got prescribed 15 mg and I took it, today I woke up around the same time and woke up sweaty with chills and hot flashes",1
4weq7w,1,what started as a good high became maintenance we lost everything due to missing work due to withdrawals and kept coming back to it,1
4wz1zk,0,,1
4x0qdw,0,,0
4xhg43,0,,0
3vgc3p,ERROR,ERROR,0
5b0wy1,0,,0
5hievf,0,,0
5k1o0g,0,,0
5k1oee,ERROR,ERROR,0
5ogbx0,0,,0
5tkele,0,,0
6pevu3,0,,0
6so434,0,,0
6yx7cl,ERROR,ERROR,0
7g4wqe,0,,0
7utwml,0,,0
7wgn6u,ERROR,ERROR,0
7zoddk,0,,0
8ty54o,0,,0
9eheaz,0,,0
64ib16,0,,0
65amiz,ERROR,ERROR,0
6bungt,0,,0
6bv001,0,,0
6d0m6u,0,,0
6eni2i,ERROR,ERROR,0
6f6hm3,0,,0
6gquvp,0,,0
6jsh71,1,I'm on the verge of running. Heart beating like a NASCAR race.,0
6s32sv,0,,0
6vx1z8,ERROR,ERROR,0
75usyl,0,,0
9r7jvb,0,,0
9rgnuu,0,,0
akkd6f,0,,0
21qjm8,1,I've been on opiates on and off since 2004 for recreational use and no more than 5 or 6 days off since October 2011.,0
2chamm,1,"I'm 24 hours into withdraw and it's tough. I have to say I don't feel as bad, physically, as I did when coming off oxy.",0
2dgb15,0,,0
2dqm1m,0,,0
2dtp5p,0,,0
2ekc5q,0,,1
2eu61b,1,"I haven't been sick in years, at least I haven't felt sick, other than withdrawals, in years.",0
2f6l3u,0,,0
2fqh63,0,,0
2fyi7y,0,,0
2g8wqx,1,"I know I can stay sober one more day, and it's my hope you all will too!",0
2h236d,ERROR,ERROR,0
2hcdfs,ERROR,ERROR,0
2i7zgb,0,,0
2ivdyt,ERROR,ERROR,0
2lr7de,ERROR,ERROR,0
2n5vj8,0,,0
2nkbfq,0,,0
3gcc7r,0,,1
2hoo9h,ERROR,ERROR,0
2icg4d,0,,1
2j8zso,ERROR,ERROR,0
2jlf7o,0,,0
2johmn,0,,1
2ljykd,0,,0
8jsh11,1,I get sick every couple hours when I sober up so I have been drinking constantly.,0
8kow2v,0,,0
912r36,0,,0
930pja,0,,0
18hogu,ERROR,ERROR,0
1g3x3z,ERROR,ERROR,0
1m04ox,ERROR,ERROR,0
24oizv,ERROR,ERROR,0
2eo8fu,1,"While I am currently keeping withdrawals at bay with 10 - 20mg a day of OC (I was pretty steady at 50 - 100mg a day, every day),",0
2qegjj,1,I am trying to be strong and endure moving from chewing a 50mcg fentynal patch every day to oxycontin (20mg).,0
2qraq3,0,,0
2uted8,ERROR,ERROR,0
2zlapn,1,tomorrow will be the worst if my package doesn't arrive,0
2ztmsi,1,I am starting to feel human again. Praise satan!!!,0
354b3f,0,,0
356qxg,0,,0
374yoy,0,,0
3b662j,1,"After 90 hours since my last oxycodone dose, I can officially say that I am withdrawal free (with minor exception) .",0
5cfk3y,1,I'm on day 14 now. Every day is a little but better but also a little bit harder. I've had to call on my clean friends and therapist every single day for the past week. Hanging on for dear life here.,0
5do5w4,1,NOW NOW NOW.,0
5e021n,1,I smoked a roach I had in my ash tray on Friday night and felt immense relief from the nasty cravings I was/am getting for my DOC.,0
5lmr46,1,Unable to keep any food or even water down.,0
5m7uxx,1,"Even now, on day 6 and just barely through the worst of the physical symptoms, my desire to use is still there.",0
5m8cbd,0,,0
5vz0c8,1,Back here at day 2 yet again.,0
5wa2x6,1,I'm thankful for rehab being on the table.,0
5wbuio,1,That desperate twilight right before you're about to get sick .,0
5wvc6g,0,,0
626yao,0,,1
65cetl,1,"I'm nowhere near out of the woods, but for now, I'm not constantly obsessing about getting high.",0
69elm6,0,,0
6w32fm,ERROR,ERROR,0
5eyu2c,ERROR,ERROR,0
5fakxa,ERROR,ERROR,0
5gec3u,ERROR,ERROR,0
5k5ef8,ERROR,ERROR,0
6h5m7b,ERROR,ERROR,0
4g4vh6,1,Those kicks were so easy. I wish I could go back. Now I turn into a crazy ass fiend bitch when I'm kicking.,0
4i9974,0,,0
4ml4hi,0,,0
4op8in,ERROR,ERROR,0
4z2mam,0,,0
557aht,0,,0
5899fw,1,I'll be hit in the face with all the problems I've been numbing away all these years.,0
7v4a5x,ERROR,ERROR,0
8e2q2w,ERROR,ERROR,0
8foj96,ERROR,ERROR,0
3l9j7c,1,I'm withdrawing and will be up aaall night.,0
3le8du,1,"The intense bond passes between them and its almost visible as Robert gives up and quiets his yelling, sagging into Art's body as he pulls him.",0
3lelam,1,"The intense bond passes between them and its almost visible as Robert gives up and quiets his yelling, sagging into Art's body as he pulls him.",0
3mo5w2,ERROR,ERROR,0
3n2ovm,ERROR,ERROR,0
3ntap0,1,Unfortunately I'm dry tonight,0
3plm0v,0,,0
5m1kxs,1,"I'm almost 24 hours in and miserable. I took lope which didn't work, dosed 2 mg bupe about an hour ago and 2 more mg about ten minutes ago. Hoping for some relief soon.",0
5mois4,1,Headed into day 4 now of withdrawal from bth.,0
5mt9d3,1,I'm almost to the other side of this and can't wait for freedom! Onto day 5!,0
5mybow,ERROR,ERROR,0
5nrffi,1,"Today is day 10, I slept 6 hours STRAIGHT last night, and woke up without the deep bone chills.",0
70e73c,ERROR,ERROR,0
71fs3w,ERROR,ERROR,0
73aox3,ERROR,ERROR,0
82lvqg,ERROR,ERROR,0
8y5xe0,ERROR,ERROR,0
913j09,ERROR,ERROR,0
1d1z30,0,,0
1fi63n,1,"So, my next plan is to go and surprise her by flying over there with some so her and I could have one good night of nodz together.",0
1mdn4w,ERROR,ERROR,0
3ec0k1,0,,0
47821b,0,,0
2usdaq,0,,0
3p630r,ERROR,ERROR,0
42jqib,0,,0
5tk2th,ERROR,ERROR,0
5y34e5,0,,0
4wghw3,ERROR,ERROR,0
4wn4lx,0,,0
4x22ko,0,,0
4x2cmy,1,we plan to withdraw from a half gram a day habit of heroin over the weekend.,1
4x5tju,0,,0
4xfdei,1,today i begin my planned withdrawals.. .,0
4xolj8,1,does anyone with experience on heroin withdrawal know how much longer my body will feel like hell?,0
4xth55,0,,0
4xwgnk,1,i know the girl who has them well so i could probably let her know i'm sick and snag one of those,0
4y60d1,1,Thinking of coppin again on the weekend for Saturday night because I play a show.,0
4yd4cu,1,"I got one to help cope with withdrawal and chip off Heroin, because for some reason I don't feel a craving for Oxy like I do with Heroin and as long as I do a tiny bit of opiate I can usually endure any remaining w/d symptoms.",0
4zfsrv,0,,0
50eob3,ERROR,ERROR,0
50fctm,0,,0
50r0kv,0,,0
50uqqk,ERROR,ERROR,0
51jogj,0,,0
51mlcc,0,,0
